run number,run class,title,start date/time,stop date/time,config name,Gas,Pressure,Cathode,Micromegas,E-trans,MTHGEM,Ring,smartZAP,Field,Mesh Threshold,Comments
0,PULS,Testing electronics and DAQ,2021-06-22 20:03:18,2021-06-22 20:03:43,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
1,PULS,Testing electronics and DAQ,2021-06-24 13:02:58,2021-06-24 13:03:22,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
2,PULS,Testing electronics and DAQ,2021-06-24 14:01:29,2021-06-24 14:01:49,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
3,PULS,Testing electronics and DAQ,2021-06-24 14:06:49,2021-06-24 14:07:09,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
4,PULS,Testing electronics and DAQ,2021-06-24 14:18:49,2021-06-24 14:19:05,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
5,PULS,Testing electronics and DAQ,2021-06-24 14:28:30,2021-06-24 14:28:51,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
6,PULS,Testing electronics and DAQ,2021-06-24 15:41:40,2021-06-24 15:42:04,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
7,PULS,Testing electronics and DAQ - zero suppression on with threshold at 600 for all channels,2021-06-24 20:50:36,2021-06-24 20:50:50,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
8,JUNK,,2021-06-24 21:11:33,2021-06-24 21:11:56,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
9,JUNK,,2021-06-24 21:21:11,2021-06-24 21:21:51,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
10,JUNK,,2021-06-24 21:27:46,2021-06-24 21:28:07,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
11,,,2021-06-24 21:35:46.662710,2021-06-24 21:36:02.196031,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
12,,,2021-06-24 21:44:33.028559,2021-06-24 21:44:52.854868,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
13,,,2021-06-25 21:18:15.466672,2021-06-25 21:18:35.389771,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
14,,,2021-06-25 21:50:31.992748,2021-06-25 21:50:46.799672,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
15,,,2021-06-25 21:54:47.842104,2021-06-25 21:55:12.634070,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
16,,,2021-06-29 13:40:29.491938,2021-06-29 13:41:03.960243,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
17,,,2021-06-29 18:14:28.663663,2021-06-29 18:14:43.808925,e20009,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing,Missing
