Ion Energy (MeV),dE/dx (MeV/(mg/cm2))
0.001,0.42319
0.0011,0.43877
0.0012,0.45388
0.0013000000000000002,0.46856000000000003
0.0014,0.48288000000000003
0.0015,0.49678
0.0016,0.51035
0.0017,0.52356
0.0018000000000000002,0.5364800000000001
0.002,0.56154
0.0022500000000000003,0.59057
0.0025,0.6181899999999999
0.00275,0.6446
0.003,0.66984
0.0032500000000000003,0.69417
0.0035,0.7176400000000001
0.00375,0.74024
0.004,0.76214
0.0045000000000000005,0.804
0.005,0.84341
0.0055,0.88083
0.006,0.9163899999999999
0.006500000000000001,0.95029
0.007,0.98277
0.008,1.04398
0.009000000000000001,1.10002
0.01,1.15323
0.011,1.2015630000000002
0.012,1.247993
0.013000000000000001,1.290501
0.014,1.33107
0.015,1.36969
0.016,1.405352
0.017,1.440049
0.018000000000000002,1.471776
0.02,1.530303
0.0225,1.595818
0.025,1.65142
0.0275,1.700087
0.03,1.741804
0.0325,1.77756
0.035,1.807348
0.0375,1.832162
0.04,1.851996
0.045,1.880715
0.05,1.896485
0.055,1.901294
0.06,1.8971310000000001
0.065,1.884992
0.07,1.86887
0.08,1.82267
0.09,1.7665099999999998
0.1,1.70438
0.11,1.6412719999999998
0.12,1.57718
0.13,1.516101
0.14,1.4560330000000001
0.15,1.3999734
0.16,1.3459205
0.17,1.2958733999999998
0.18,1.2478312
0.2,1.1617584
0.225,1.0686845
0.25,0.9893244
0.275,0.9212743999999999
0.3,0.8625323
0.325,0.8112961999999999
0.35000000000000003,0.7664649
0.375,0.7267374999999999
0.4,0.6914134
0.45,0.6311726
0.5,0.5817395000000001
0.55,0.540312
0.6,0.5049889000000001
0.65,0.4745691
0.7000000000000001,0.4480519
0.8,0.4038237
0.9,0.3683014
1.0,0.3390834
1.1,0.3165684
1.2,0.2944558
1.3,0.276045
1.4,0.2602357
1.5,0.2463275
1.6,0.23382039999999998
1.7,0.222714
1.8,0.21270830000000002
2.0,0.19519848
2.25,0.17738857000000002
2.5,0.16268053999999998
2.75,0.15047389
3.0,0.1400683
3.25,0.13106353
3.5,0.12325941
3.75,0.11645581
4.0,0.11035264
4.5,0.1000073
5.0,0.09158298
5.5,0.08454941
6.0,0.07859641
6.5,0.07348385
7.0,0.06904164
8.0,0.061698010000000005
9.0,0.05585516
10.0,0.05110285
11.0,0.047150939999999995
12.0,0.04379934
13.0,0.04093797
14.0,0.03844679
15.0,0.036265759999999994
16.0,0.034344849999999996
17.0,0.03262405
18.0,0.03108333
20.0,0.0284421
22.5,0.02575086
25.0,0.023569856
27.5,0.021759027
30.0,0.020228331999999998
32.5,0.018917739
35.0,0.017787227
37.5,0.016796782
40.0,0.015926389
45.0,0.01445573
50.0,0.013255198999999999
