run,gain_factor
108,0.000
109,0.000
110,0.000
112,0.000
113,0.000
114,0.000
115,0.000
116,0.000
117,0.000
118,0.000
119,0.000
120,0.000
121,0.000
122,0.000
123,0.000
124,0.000
125,0.000
126,0.000
167,0.000
168,0.000
169,0.000
173,0.000
174,0.000
181,0.000
182,0.000
183,0.000
184,0.000
185,0.000
207,1.300
208,1.300
209,1.300
210,1.300
211,1.300
230,0.000
231,0.000
249,1.300
250,1.300
251,1.300
252,1.300
253,1.300
256,1.300
258,1.300
259,1.300
260,1.300
261,1.300
262,1.300
263,1.300
264,1.300
265,1.300
266,1.300
267,1.300
268,1.300
269,1.300
270,1.300
271,1.300
272,1.300
273,1.300
274,1.300
275,1.300
276,1.300
277,1.300
278,1.300
279,1.300
280,1.300
281,1.300
286,1.300
287,1.300
288,1.300
289,1.300
290,1.500
291,1.700
292,1.700
293,1.700
294,1.700
295,1.700
296,1.700
297,1.700
298,1.700
299,1.700
300,1.700
301,1.700
302,1.700
303,1.700
304,1.700
305,1.700
306,1.700
307,1.700
308,1.700
309,1.700
310,1.700
311,1.700
312,1.700
313,1.700
314,1.700
315,1.700
316,1.700
317,1.700
318,1.700
319,0.000
320,0.000
325,0.000
327,0.000
334,1.400
335,1.400
336,1.400
337,0.000
344,1.300
345,1.300
346,1.300
347,1.000
348,1.000
349,1.000
350,1.000
351,1.000
352,1.000
353,1.000
354,1.000
355,1.000
356,1.000
357,1.100
358,1.100
359,1.100
360,1.100
361,1.200
362,1.200
363,1.300
364,1.300
365,1.300
366,0.000
367,0.000
368,0.000
